TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.074230	-0.354724	-0.078952
9	0.076625	-0.354103	-0.078062
17	0.081475	-0.352861	-0.078062
25	0.084787	-0.352142	-0.078062
40	0.088382	-0.351405	-0.078062
46	0.091929	-0.350627	-0.078062
54	0.098202	-0.349364	-0.078062
62	0.102671	-0.348519	-0.077782
71	0.106379	-0.347683	-0.077782
80	0.109175	-0.346769	-0.077782
89	0.114046	-0.345142	-0.077782
100	0.117061	-0.344214	-0.077782
107	0.120723	-0.343259	-0.077455
117	0.123534	-0.342306	-0.077455
126	0.125844	-0.341299	-0.077455
135	0.130440	-0.339733	-0.077455
148	0.133319	-0.338690	-0.077455
153	0.136318	-0.337445	-0.077455
162	0.138105	-0.336382	-0.077862
171	0.141424	-0.334716	-0.077862
180	0.144095	-0.333647	-0.077862
189	0.145788	-0.332547	-0.077862
198	0.146886	-0.331465	-0.077862
206	0.149088	-0.329746	-0.078124
215	0.151263	-0.328416	-0.078124
225	0.152438	-0.327326	-0.078124
234	0.153445	-0.326202	-0.078124
242	0.155167	-0.324486	-0.078124
252	0.155736	-0.323385	-0.078370
266	0.156760	-0.322262	-0.078370
275	0.157548	-0.321138	-0.078363
288	0.160839	-0.318070	-0.078370
297	0.162491	-0.316943	-0.078370
306	0.163152	-0.315819	-0.078568
315	0.162799	-0.314669	-0.078568
328	0.162981	-0.312884	-0.078570
334	0.163883	-0.311763	-0.078568
341	0.165364	-0.310399	-0.078568
351	0.165902	-0.309261	-0.078568
360	0.167251	-0.307463	-0.078723
369	0.166900	-0.306296	-0.078723
378	0.166846	-0.305129	-0.078723
387	0.166729	-0.303957	-0.078723
397	0.166367	-0.302175	-0.078723
416	0.164664	-0.299644	-0.388567
423	0.164001	-0.298087	-0.388567
432	0.163982	-0.296942	-0.500000
441	0.164421	-0.295789	-0.500000
450	0.164006	-0.294659	-0.500000
460	0.163991	-0.292970	-0.500000
469	0.171334	-0.291583	-0.500000
480	0.184048	-0.290256	-0.500000
488	0.203790	-0.288922	-0.500000
526	0.335908	-0.277102	-0.500000
