TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.027953	-2.631046	0.109594
9	0.029264	-2.630593	0.109594
18	0.029777	-2.630300	0.109594
27	0.029986	-2.630049	0.109594
36	0.029214	-2.629779	0.109594
45	0.027991	-2.629551	0.106597
57	0.025648	-2.629288	0.106597
64	0.024614	-2.629245	0.106597
72	0.022815	-2.629226	0.106597
83	0.021154	-2.629269	0.106597
91	0.019421	-2.629432	0.106597
99	0.017868	-2.629562	0.103443
108	0.016516	-2.629701	0.103443
117	0.015849	-2.629935	0.103443
125	0.015868	-2.630258	0.103443
136	0.015989	-2.630511	0.103443
145	0.016663	-2.630767	0.100288
154	0.018083	-2.631016	0.100288
167	0.020044	-2.631385	0.099750
173	0.021655	-2.631597	0.099750
180	0.024186	-2.631788	0.099750
190	0.026886	-2.631975	0.099750
198	0.032003	-2.632283	0.099160
208	0.035065	-2.632539	0.099160
216	0.038100	-2.632751	0.099160
226	0.041261	-2.632993	0.099160
236	0.044263	-2.633156	0.099160
245	0.048660	-2.633331	0.098588
253	0.050748	-2.633399	0.098588
262	0.052446	-2.633447	0.098588
275	0.054349	-2.633451	0.098588
281	0.057829	-2.633387	0.098588
288	0.059724	-2.633295	0.098588
294	0.060152	-2.633259	0.098058
300	0.060833	-2.633207	0.098058
307	0.062126	-2.633105	0.098058
316	0.063694	-2.632975	0.098058
325	0.063937	-2.632889	0.098058
334	0.064412	-2.632771	0.098058
343	0.064977	-2.632687	0.097554
352	0.063798	-2.632530	0.097554
361	0.061748	-2.632439	0.097554
370	0.058399	-2.632305	0.097554
378	0.055180	-2.632226	0.097554
387	0.047869	-2.632175	0.099510
393	0.043214	-2.632167	0.101733
406	0.035042	-2.632247	0.101733
411	0.030920	-2.632328	0.101733
469	-0.027124	-2.634805	0.103968
478	-0.034849	-2.635411	0.103968
487	-0.042701	-2.636056	0.103968
497	-0.051412	-2.636850	0.106148
504	-0.063405	-2.637981	0.106148
515	-0.071056	-2.638824	0.106148
523	-0.077892	-2.639702	0.106148
532	-0.083424	-2.640612	0.106148
541	-0.090357	-2.642000	0.108376
550	-0.094503	-2.642937	0.108376
559	-0.099705	-2.644038	0.108376
568	-0.102574	-2.644992	0.108376
577	-0.104474	-2.646429	0.108376
586	-0.104850	-2.647361	0.108376
596	-0.104689	-2.648276	0.107556
608	-0.103727	-2.649167	0.108375
614	-0.101723	-2.650143	0.108375
623	-0.099415	-2.651265	0.108375
632	-0.097645	-2.651976	0.108375
640	-0.095095	-2.652620	0.108375
650	-0.092445	-2.653208	0.109302
658	-0.089629	-2.653948	0.109302
669	-0.086616	-2.654352	0.109302
676	-0.082908	-2.654732	0.109302
685	-0.079116	-2.654962	0.109302
695	-0.074487	-2.655218	0.110150
704	-0.071541	-2.655328	0.110150
717	-0.068422	-2.655401	0.110150
723	-0.065828	-2.655440	0.110150
732	-0.062571	-2.655324	0.110150
739	-0.060594	-2.655171	0.110150
745	-0.059562	-2.655098	0.111002
751	-0.058672	-2.655024	0.111002
758	-0.057486	-2.654828	0.111002
767	-0.057359	-2.654463	0.111002
776	-0.056404	-2.654178	0.111002
785	-0.055663	-2.653820	0.111002
793	-0.055807	-2.653465	0.109417
804	-0.055673	-2.653071	0.109417
812	-0.055906	-2.652561	0.109417
825	-0.055453	-2.652233	0.109282
831	-0.055136	-2.651943	0.109282
838	-0.055870	-2.651619	0.109282
847	-0.055740	-2.651193	0.109390
857	-0.055534	-2.650993	0.109390
866	-0.056264	-2.650731	0.109390
875	-0.057112	-2.650578	0.109390
884	-0.056753	-2.650353	0.109390
893	-0.055850	-2.650213	0.109523
902	-0.055234	-2.650115	0.109523
911	-0.055053	-2.650045	0.109523
921	-0.054153	-2.650054	0.109523
929	-0.052015	-2.650129	0.109523
947	-0.049080	-2.650294	0.109649
955	-0.047485	-2.650411	0.109649
964	-0.046627	-2.650540	0.109649
975	-0.046213	-2.650771	0.109649
983	-0.044974	-2.650987	0.109649
994	-0.042908	-2.651289	0.109833
1002	-0.037890	-2.651643	0.109833
1011	-0.034699	-2.651851	0.109833
1019	-0.031863	-2.652063	0.109833
1028	-0.028066	-2.652273	0.109833
1038	-0.019600	-2.652613	0.109833
1050	-0.013848	-2.652824	0.109877
1056	-0.007211	-2.653028	0.109877
1064	-0.001008	-2.653114	0.109877
1072	0.009774	-2.653179	0.109877
1084	0.016938	-2.653204	0.109877
1091	0.023443	-2.653134	0.109877
1101	0.029991	-2.653063	0.110114
1110	0.039550	-2.652847	0.110114
1118	0.047394	-2.652568	0.110114
1127	0.054538	-2.652274	0.110114
1138	0.061888	-2.651979	0.110114
1145	0.068001	-2.651580	0.110321
