TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.027588	0.701804	0.014529
9	0.024183	0.702042	0.014529
20	0.020337	0.702405	0.014529
28	0.017101	0.702640	0.014529
37	0.012916	0.702814	0.016976
46	0.006815	0.703063	0.016976
55	0.002090	0.703238	0.016976
68	-0.005774	0.703356	0.016976
74	-0.010629	0.703423	0.016976
81	-0.015570	0.703408	0.016976
91	-0.020849	0.703480	0.020556
100	-0.028807	0.703494	0.020556
108	-0.035084	0.703454	0.020556
117	-0.039504	0.703393	0.020556
123	-0.042023	0.703318	0.020556
135	-0.046785	0.703131	0.024452
147	-0.049098	0.703071	0.024452
154	-0.051294	0.703031	0.024452
163	-0.053176	0.702935	0.024452
175	-0.053874	0.702741	0.022977
181	-0.054819	0.702647	0.022977
190	-0.055204	0.702515	0.021173
199	-0.054111	0.702478	0.021173
208	-0.050335	0.702410	0.021173
217	-0.047330	0.702453	0.021173
226	-0.044011	0.702469	0.021173
235	-0.039411	0.702523	0.019361
245	-0.034972	0.702634	0.019361
253	-0.028330	0.702820	0.019361
262	-0.023757	0.702967	0.019361
271	-0.019237	0.703251	0.019361
293	-0.005411	0.703903	-0.300000
300	-0.000539	0.704203	-0.300000
307	0.004371	0.704525	-0.300000
319	0.008912	0.704851	-0.300000
326	0.017489	0.705330	-0.300000
335	0.024066	0.705713	-0.300000
355	0.037414	0.706878	-0.300000
363	0.050980	0.707847	-0.300000
371	0.064102	0.708577	-0.300000
379	0.083938	0.709356	-0.300000
388	0.108843	0.710372	-0.300000
398	0.151026	0.712168	-0.300000
408	0.177999	0.713696	-0.300000
415	0.196785	0.715355	-0.300000
425	0.208432	0.717396	-0.300000
434	0.216791	0.719184	-0.300000
443	0.228779	0.721994	-0.300000
451	0.235577	0.723921	-0.300000
461	0.242500	0.725944	-0.300000
470	0.248820	0.727991	-0.300000
477	0.263409	0.731419	-0.300000
489	0.271581	0.733606	-0.300000
496	0.278005	0.735840	-0.300000
508	0.285244	0.738198	-0.300000
515	0.298313	0.741793	-0.300000
523	0.305840	0.744260	-0.300000
535	0.312225	0.746780	-0.300000
542	0.318641	0.749372	-0.300000
550	0.330881	0.753673	-0.300000
556	0.336705	0.755915	-0.300000
569	0.341718	0.759195	-0.300000
577	0.345111	0.761961	-0.300000
586	0.351068	0.766147	-0.300000
596	0.355227	0.769032	-0.300000
605	0.357635	0.772352	-0.300000
618	0.358053	0.775275	-0.300000
625	0.358662	0.778237	-0.300000
632	0.359899	0.782607	-0.300000
637	0.360436	0.785574	-0.300000
646	0.360478	0.788591	-0.300000
659	0.360089	0.791598	-0.300000
668	0.359514	0.796616	-0.300000
677	0.359446	0.799641	-0.300000
686	0.359112	0.802763	-0.300000
695	0.358899	0.805835	-0.300000
703	0.360182	0.810413	-0.300000
713	0.361043	0.813541	-0.300000
726	0.361704	0.816640	-0.300000
732	0.363547	0.820355	-0.300000
740	0.365436	0.825082	-0.300000
749	0.366658	0.828327	-0.300000
757	0.368001	0.831542	-0.300000
768	0.370351	0.834843	-0.300000
776	0.372523	0.839724	-0.300000
786	0.373784	0.843105	-0.300000
794	0.375570	0.847095	-0.300000
803	0.376500	0.850467	-0.300000
812	0.377294	0.853812	-0.300000
821	0.379181	0.858858	-0.300000
830	0.380034	0.862217	-0.300000
840	0.382362	0.865689	-0.300000
849	0.384543	0.869148	-0.300000
856	0.390162	0.874854	-0.300000
868	0.395648	0.878337	-0.300000
876	0.401043	0.881899	-0.300000
884	0.406237	0.885405	-0.300000
894	0.415340	0.890845	-0.300000
902	0.421858	0.894537	-0.300000
911	0.427972	0.898242	-0.300000
916	0.430363	0.899671	-0.300000
925	0.435119	0.902659	-0.300000
938	0.449273	0.912158	-0.300000
949	0.454274	0.916047	-0.300000
956	0.458600	0.920040	-0.300000
965	0.462124	0.925957	-0.300000
974	0.463135	0.929920	-0.300000
985	0.465189	0.934557	-0.300000
993	0.466191	0.938549	-0.300000
1003	0.466092	0.942488	-0.300000
1011	0.464422	0.948442	-0.300000
1020	0.462929	0.952392	-0.300000
1028	0.461597	0.956277	-0.300000
1037	0.459715	0.960170	-0.300000
1048	0.455843	0.966589	-0.300000
1067	0.454637	0.974255	-0.300000
1073	0.453566	0.978075	-0.300000
1082	0.452337	0.983761	-0.300000
1092	0.452347	0.987582	-0.300000
1101	0.453127	0.991373	-0.300000
1110	0.454421	0.995861	-0.300000
1118	0.455825	1.001553	-0.300000
1128	0.456230	1.005431	-0.300000
1136	0.456990	1.009273	-0.300000
1146	0.458028	1.013144	-0.300000
1155	0.458655	1.016937	-0.300000
1173	0.457718	1.027212	-0.300000
1181	0.457969	1.031047	-0.300000
1190	0.457949	1.034868	-0.300000
1199	0.456531	1.040594	-0.300000
1209	0.456339	1.044439	-0.300000
1217	0.456329	1.048248	-0.300000
1227	0.456865	1.052113	-0.300000
1235	0.457261	1.058438	-0.300000
1245	0.458147	1.062284	-0.300000
1254	0.459694	1.066088	-0.300000
1263	0.460218	1.069960	-0.300000
1281	0.461549	1.079561	-0.300000
1289	0.462656	1.083421	-0.300000
1299	0.463720	1.087908	-0.300000
1308	0.462918	1.093571	-0.300000
1317	0.461410	1.097424	-0.300000
1327	0.459666	1.101220	-0.300000
1335	0.457009	1.105001	-0.300000
1344	0.454384	1.108750	-0.300000
1353	0.450873	1.114337	-0.300000
1362	0.447034	1.118600	-0.300000
1371	0.443253	1.122311	-0.300000
1388	0.434896	1.131356	-0.300000
1398	0.431949	1.134966	-0.300000
1410	0.428285	1.138558	-0.300000
1417	0.424775	1.142094	-0.300000
1425	0.420492	1.147880	-0.300000
1434	0.418120	1.151382	-0.300000
1443	0.416333	1.154830	-0.300000
1452	0.414586	1.158315	-0.300000
1462	0.411893	1.163489	-0.300000
1471	0.410363	1.166921	-0.300000
1479	0.408968	1.170310	-0.300000
1489	0.408722	1.174301	-0.300000
1499	0.407133	1.179357	-0.300000
1507	0.405475	1.182770	-0.300000
1515	0.404103	1.186132	-0.300000
1525	0.402051	1.189569	-0.300000
1533	0.399846	1.192958	-0.300000
1543	0.395582	1.198536	-0.300000
1551	0.392882	1.201829	-0.300000
1560	0.390256	1.205150	-0.300000
1569	0.387769	1.208460	-0.300000
1578	0.383945	1.213330	-0.300000
1588	0.381030	1.216522	-0.300000
1596	0.379510	1.219698	-0.300000
1609	0.376996	1.223472	-0.300000
1615	0.374817	1.228218	-0.300000
