TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.036492	-1.420591	0.009428
13	0.023181	-1.421120	0.018150
21	0.017570	-1.421395	0.018150
31	0.012816	-1.421754	0.016656
40	0.007542	-1.422065	0.016656
49	0.002010	-1.422442	0.016656
59	-0.005952	-1.422804	0.016656
67	-0.011411	-1.423188	0.016656
76	-0.016678	-1.423513	0.016656
85	-0.020491	-1.423808	0.014541
95	-0.026072	-1.424181	0.014541
103	-0.029979	-1.424455	0.014541
113	-0.033698	-1.424781	0.014541
122	-0.037809	-1.425105	0.014541
129	-0.041596	-1.425366	0.014541
144	-0.043665	-1.425576	0.012258
151	-0.046023	-1.425824	0.012258
158	-0.047193	-1.425985	0.012258
167	-0.048504	-1.426141	0.012258
176	-0.047921	-1.426251	0.012258
185	-0.046344	-1.426373	0.010012
193	-0.044262	-1.426381	0.010012
202	-0.039182	-1.426168	0.010012
224	-0.027421	-1.425870	0.011194
230	-0.020162	-1.425614	0.011194
239	-0.011008	-1.425058	0.012318
248	-0.005695	-1.424768	0.012944
256	-0.000908	-1.424397	0.012806
266	0.003920	-1.424032	0.012318
274	0.007587	-1.423596	0.012318
283	0.013630	-1.422825	0.013421
293	0.018121	-1.422341	0.013421
302	0.021627	-1.421974	0.013421
311	0.025006	-1.421573	0.013421
319	0.028906	-1.420884	0.013421
331	0.031742	-1.420529	0.014527
338	0.034386	-1.420261	0.014527
347	0.037040	-1.419943	0.014527
355	0.042449	-1.419390	0.014527
365	0.044536	-1.419152	0.014527
374	0.047539	-1.418995	0.014527
383	0.051561	-1.418828	0.015624
391	0.057164	-1.418549	0.015624
401	0.060844	-1.418504	0.015624
410	0.064668	-1.418432	0.015624
419	0.068500	-1.418412	0.015624
428	0.071234	-1.418419	0.015624
446	0.078249	-1.418567	0.016727
454	0.080439	-1.418676	0.016727
472	0.081353	-1.418974	0.017382
484	0.080278	-1.419229	0.017826
491	0.078906	-1.419537	0.017826
500	0.077419	-1.419810	0.017826
508	0.072663	-1.420150	0.017826
520	0.069007	-1.420503	0.017826
527	0.064482	-1.420868	0.017826
536	0.060806	-1.421328	0.018925
550	0.053793	-1.421992	0.018925
567	0.040783	-1.423173	-0.364696
573	0.037654	-1.423625	-0.364696
581	0.032591	-1.424171	-0.364219
590	0.026974	-1.424797	-0.364219
599	0.021147	-1.425418	-0.364219
607	0.013750	-1.426287	-0.364219
617	0.012937	-1.426925	-0.364219
628	0.020333	-1.427560	-0.364219
635	0.042761	-1.427972	-0.363763
644	0.073177	-1.428189	-0.363763
719	0.215056	-1.419812	-0.366495
743	0.245462	-1.414646	-0.366495
753	0.256727	-1.411652	-0.366495
761	0.264293	-1.409539	-0.366495
773	0.271405	-1.407384	-0.366508
780	0.278790	-1.405137	-0.366508
788	0.294005	-1.400993	-0.366423
799	0.303703	-1.398456	-0.366423
807	0.313762	-1.395852	-0.366423
816	0.321906	-1.393093	-0.366423
825	0.333078	-1.388782	-0.366423
834	0.340919	-1.385906	-0.366330
842	0.347195	-1.382884	-0.366330
851	0.352789	-1.379775	-0.366330
862	0.361876	-1.374367	-0.366330
869	0.367437	-1.371116	-0.366330
884	0.372955	-1.367852	-0.366222
890	0.378605	-1.364549	-0.366222
896	0.387222	-1.359369	-0.366222
906	0.392596	-1.355916	-0.366222
914	0.399105	-1.351837	-0.366222
924	0.404499	-1.348309	-0.366222
933	0.409878	-1.344755	-0.366067
942	0.418107	-1.339241	-0.366006
960	0.431522	-1.331929	-0.366067
968	0.439421	-1.328170	-0.366067
979	0.449155	-1.322411	-0.366067
991	0.457654	-1.317842	-0.365829
997	0.464504	-1.313998	-0.365829
1005	0.469888	-1.310072	-0.365829
1014	0.477096	-1.304085	-0.365829
1023	0.480664	-1.300074	-0.365829
1032	0.484434	-1.296092	-0.365496
1041	0.487179	-1.292104	-0.365496
1050	0.488901	-1.285338	-0.365496
1059	0.488792	-1.281393	-0.365496
1068	0.488934	-1.277398	-0.365496
1076	0.487856	-1.273372	-0.365496
1086	0.487386	-1.267292	-0.365023
1104	0.488317	-1.258547	-0.365023
1122	0.487976	-1.250474	-0.365023
1130	0.486906	-1.244232	-0.365023
1141	0.486268	-1.240105	-0.364396
1149	0.485044	-1.235915	-0.364396
1160	0.483831	-1.231750	-0.364396
1167	0.482740	-1.224681	-0.364396
1176	0.481995	-1.220426	-0.364396
1185	0.481728	-1.216131	-0.363631
1194	0.482204	-1.211779	-0.363539
1208	0.481775	-1.205152	-0.364362
1214	0.481493	-1.200707	-0.364490
1222	0.480596	-1.196253	-0.364490
1231	0.479267	-1.191750	-0.365329
1239	0.476554	-1.184116	-0.365329
1248	0.474607	-1.179544	-0.365329
1258	0.473088	-1.175001	-0.365329
1266	0.472714	-1.170409	-0.365329
1275	0.474185	-1.163483	-0.365329
1284	0.475108	-1.158823	-0.366029
1294	0.477605	-1.153374	-0.366029
1303	0.480245	-1.148669	-0.366029
1313	0.482794	-1.143939	-0.366029
1323	0.486774	-1.136826	-0.366329
1330	0.490174	-1.132131	-0.366329
1338	0.492956	-1.127374	-0.366546
1348	0.495046	-1.122661	-0.366546
1356	0.499684	-1.114676	-0.366546
1367	0.502358	-1.109899	-0.366671
1420	0.516354	-1.079318	-0.366679
1432	0.518891	-1.071507	-0.366223
1438	0.520486	-1.066966	-0.366223
1447	0.522152	-1.062386	-0.366223
1456	0.523847	-1.057856	-0.366223
1465	0.528479	-1.051042	-0.366223
1473	0.533185	-1.046525	-0.366223
1485	0.538911	-1.041220	-0.365909
1493	0.543351	-1.036795	-0.365909
1501	0.548742	-1.032294	-0.365909
1510	0.556452	-1.025511	-0.365909
1521	0.561157	-1.021000	-0.365909
1528	0.565456	-1.016469	-0.365909
1547	0.568956	-1.004395	-0.364518
1555	0.569557	-0.999930	-0.364518
1564	0.569814	-0.995486	-0.364518
1573	0.570606	-0.991090	-0.364518
1582	0.571999	-0.984403	-0.363431
1591	0.573751	-0.979938	-0.363431
1596	0.574550	-0.975522	-0.363431
1609	0.577002	-0.970323	-0.363431
1619	0.581575	-0.963589	-0.363431
1627	0.585319	-0.959049	-0.363431
1636	0.588621	-0.954525	-0.363468
1672	0.596377	-0.932787	-0.362274
1683	0.595026	-0.928075	-0.361292
1692	0.592990	-0.923395	-0.361292
1700	0.587968	-0.916342	-0.361292
1709	0.585466	-0.911665	-0.361292
1718	0.584653	-0.906921	-0.361292
1726	0.583253	-0.902260	-0.361292
1737	0.580500	-0.894378	-0.360149
1745	0.578177	-0.889742	-0.360149
1753	0.576200	-0.885053	-0.360149
1762	0.574962	-0.880355	-0.358981
1772	0.573353	-0.873350	-0.358981
1780	0.572810	-0.868655	-0.359316
2456	0.506738	-0.513696	-0.342151
2484	0.513231	-0.501462	-0.341994
2493	0.519031	-0.494676	-0.341994
2502	0.522116	-0.490527	-0.341994
2510	0.524990	-0.486338	-0.341994
2519	0.527647	-0.482132	-0.341994
2533	0.529961	-0.475827	-0.340874
2538	0.529413	-0.471527	-0.340874
2547	0.527212	-0.466559	-0.340874
2641	0.495171	-0.420285	-0.339120
2656	0.488849	-0.410194	-0.339120
2664	0.487191	-0.406119	-0.339120
2673	0.486940	-0.402038	-0.339120
2683	0.485448	-0.395385	-0.338032
2691	0.483256	-0.391316	-0.338032
2701	0.481037	-0.387324	-0.338032
2709	0.478119	-0.383328	-0.338032
2719	0.473969	-0.377444	-0.338032
2727	0.468938	-0.373500	-0.338032
2737	0.462728	-0.369604	-0.336889
2750	0.456393	-0.365120	-0.335856
2756	0.450096	-0.359472	-0.335856
2763	0.445281	-0.355649	-0.335856
2773	0.438147	-0.351885	-0.335856
2781	0.429946	-0.348176	-0.335856
2792	0.425260	-0.344517	-0.334725
2799	0.422967	-0.338609	-0.334725
2808	0.420269	-0.335018	-0.334725
2817	0.416238	-0.331434	-0.334725
2826	0.414619	-0.327894	-0.334725
2836	0.412842	-0.322711	-0.333554
2870	0.406979	-0.306716	-0.331872
2889	0.402699	-0.299791	-0.330099
2899	0.401887	-0.296342	-0.330099
2908	0.402740	-0.291307	-0.330099
2917	0.401562	-0.287892	-0.330099
2925	0.398059	-0.283949	-0.330099
2943	0.396264	-0.277124	-0.328296
2953	0.393099	-0.272150	-0.328296
2961	0.389769	-0.268801	-0.328296
2973	0.387502	-0.265461	-0.328296
2979	0.387461	-0.262144	-0.328296
2988	0.386544	-0.256765	-0.326489
2998	0.384961	-0.253444	-0.326489
3007	0.384350	-0.250123	-0.326489
3015	0.384362	-0.246819	-0.326489
3026	0.384610	-0.242002	-0.326489
3034	0.383475	-0.238723	-0.324142
3043	0.382159	-0.235436	-0.324142
3052	0.381203	-0.231647	-0.324142
3060	0.379706	-0.226895	-0.324142
3070	0.378058	-0.223628	-0.324142
3083	0.377293	-0.220371	-0.322883
3106	0.377987	-0.209155	-0.320231
3115	0.378260	-0.205386	-0.320231
3124	0.380361	-0.202158	-0.320231
3134	0.382784	-0.198884	-0.318020
3141	0.384119	-0.194098	-0.318020
3150	0.386109	-0.190802	-0.318020
3160	0.388764	-0.187471	-0.318020
3169	0.391568	-0.184106	-0.318020
3178	0.396923	-0.178664	-0.318020
3192	0.399685	-0.175249	-0.312525
3201	0.403804	-0.171811	-0.312014
3207	0.407964	-0.168342	-0.312525
3214	0.413598	-0.163187	-0.312525
3223	0.417178	-0.159644	-0.312525
3232	0.421283	-0.156073	-0.312525
3241	0.426371	-0.151891	-0.310198
3250	0.432341	-0.146572	-0.310198
3259	0.435836	-0.142837	-0.310198
3268	0.438876	-0.139088	-0.310198
3286	0.448269	-0.129737	-0.307712
3309	0.456643	-0.117530	-0.304934
3322	0.459337	-0.113584	-0.304934
3330	0.461991	-0.107828	-0.304934
3341	0.464743	-0.103832	-0.302215
3349	0.467265	-0.099813	-0.302215
3358	0.471499	-0.095805	-0.302215
3366	0.476153	-0.089239	-0.302215
3378	0.477285	-0.085127	-0.302215
3385	0.478663	-0.081032	-0.299509
3395	0.482053	-0.076881	-0.299509
3404	0.485383	-0.070836	-0.299509
3421	0.484006	-0.062543	-0.299509
3430	0.483782	-0.057767	-0.299509
3439	0.482440	-0.051742	-0.296393
3449	0.479986	-0.047601	-0.296393
3459	0.476620	-0.043463	-0.296393
3466	0.474754	-0.039428	-0.296393
3476	0.471159	-0.033489	-0.296393
3485	0.467064	-0.029487	-0.292949
3494	0.461927	-0.024863	-0.292949
3502	0.458513	-0.020938	-0.292949
3512	0.455714	-0.016989	-0.292949
3523	0.449975	-0.011283	-0.289022
3529	0.445300	-0.007429	-0.289022
3538	0.440877	-0.003584	-0.289653
3575	0.413112	0.013679	-0.285272
3584	0.410737	0.017291	-0.282380
3592	0.403997	0.022436	-0.282380
3610	0.393869	0.029472	-0.282380
3620	0.392484	0.033495	-0.282380
3634	0.386496	0.038511	-0.275123
3643	0.381709	0.041889	-0.275123
3652	0.378941	0.045243	-0.275123
3665	0.379750	0.052056	-0.275123
3675	0.376061	0.057396	-0.275123
3683	0.374629	0.060754	-0.271875
3691	0.375770	0.064064	-0.271875
3697	0.377596	0.067397	-0.271875
3709	0.375536	0.072280	-0.271875
3719	0.373631	0.075632	-0.271875
3729	0.373809	0.079019	-0.271875
3745	0.379424	0.087791	-0.264703
3754	0.383616	0.091208	-0.264703
3764	0.387674	0.094699	-0.264703
3773	0.390736	0.098189	-0.264703
3783	0.391265	0.103278	-0.264703
3791	0.392311	0.106823	-0.260968
3799	0.395969	0.110310	-0.260968
3808	0.399058	0.114379	-0.260968
3819	0.402115	0.119598	-0.260968
3827	0.402041	0.123178	-0.260968
3837	0.401460	0.126798	-0.257251
3850	0.401658	0.130405	-0.252194
3863	0.397380	0.139679	-0.252194
3872	0.394602	0.143277	-0.252194
3881	0.391955	0.146770	-0.252194
3892	0.390920	0.150327	-0.247005
3900	0.388943	0.155405	-0.247005
3908	0.388240	0.158881	-0.247005
3917	0.388425	0.162355	-0.247005
3926	0.388981	0.165899	-0.247005
3935	0.390978	0.171452	-0.241801
3945	0.392934	0.174991	-0.241801
3953	0.394938	0.178557	-0.241801
3962	0.397065	0.182088	-0.241801
3971	0.396192	0.187197	-0.241801
3982	0.394017	0.190766	-0.241801
3989	0.393784	0.194269	-0.237383
4008	0.394114	0.201894	-0.237383
4062	0.400112	0.226644	-0.232630
4073	0.401596	0.230149	-0.227743
4079	0.399922	0.233649	-0.227743
4088	0.399378	0.238680	-0.223040
4098	0.401205	0.242215	-0.223040
4108	0.402203	0.245769	-0.223040
4115	0.401404	0.249267	-0.223040
4125	0.401847	0.254877	-0.223040
4133	0.402243	0.258367	-0.218730
4142	0.398792	0.261897	-0.218730
4151	0.394289	0.265359	-0.218730
4161	0.389554	0.270310	-0.218730
4169	0.386259	0.273687	-0.218730
4183	0.380950	0.277071	-0.208172
4190	0.372562	0.280853	-0.208172
4196	0.366367	0.284090	-0.208172
4206	0.359089	0.288746	-0.208172
4215	0.353603	0.291946	-0.208172
4224	0.346731	0.295050	-0.208172
4233	0.339835	0.298152	-0.205005
4241	0.330213	0.302455	-0.202618
4292	0.291779	0.318191	-0.201671
4301	0.286595	0.320841	-0.201711
4307	0.279502	0.323817	-0.201671
4313	0.271490	0.327422	-0.201671
4324	0.267658	0.329992	-0.201671
4332	0.263761	0.332526	-0.201671
4341	0.259451	0.334988	-0.201618
4747	0.319921	0.472272	-0.151941
5034	0.228094	0.567031	-0.119211
5071	0.219631	0.577775	-0.121709
5080	0.218131	0.580145	-0.121709
5089	0.216579	0.582442	-0.118990
5098	0.215850	0.584732	-0.118990
5108	0.215539	0.587047	-0.118990
5116	0.214634	0.590553	-0.118990
5126	0.214233	0.592856	-0.118990
5134	0.214742	0.595166	-0.116329
5143	0.215277	0.597436	-0.116329
5151	0.217670	0.600600	-0.116329
5163	0.219775	0.602904	-0.116329
5172	0.221913	0.605159	-0.110686
5181	0.224819	0.607522	-0.110686
5188	0.230123	0.611078	-0.111006
5234	0.245158	0.623934	-0.099696
5243	0.245526	0.626334	-0.099006
5266	0.247001	0.631284	-0.099696
5289	0.251733	0.639246	-0.088156
5296	0.253705	0.641553	-0.088156
5306	0.255928	0.644859	-0.088156
5314	0.256290	0.647485	-0.088156
5324	0.256337	0.649806	-0.088156
5333	0.256527	0.652183	-0.088156
5341	0.256623	0.655390	-0.082502
5351	0.256007	0.657759	-0.082502
5360	0.254598	0.660037	-0.082502
5369	0.252951	0.662342	-0.082502
5377	0.252971	0.665804	-0.082502
5391	0.251501	0.668060	-0.070636
5404	0.247951	0.672604	-0.070636
5414	0.243152	0.675786	-0.070636
5423	0.239915	0.677986	-0.070636
