TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	-0.040939	-2.755844	0.054449
10	-0.045115	-2.756628	0.054016
18	-0.048339	-2.757615	0.054016
26	-0.047842	-2.758914	0.054016
38	-0.044205	-2.759770	0.054016
45	-0.037976	-2.760628	0.054016
54	-0.031386	-2.761433	0.054016
65	-0.023006	-2.762599	0.053512
72	-0.017498	-2.763327	0.053512
81	-0.011583	-2.764124	0.053512
90	-0.008242	-2.764758	0.053512
100	-0.003332	-2.765658	0.053512
108	-0.001326	-2.766219	0.052918
118	-0.000702	-2.766739	0.052918
126	-0.001375	-2.767233	0.052918
135	-0.003078	-2.767725	0.052918
144	-0.007649	-2.768545	0.052918
153	-0.012008	-2.769005	0.052918
163	-0.017683	-2.769445	0.052337
175	-0.025077	-2.769911	0.052062
181	-0.039831	-2.770649	0.052062
189	-0.050652	-2.771171	0.052062
198	-0.059800	-2.771689	0.052062
207	-0.070649	-2.772346	0.051674
216	-0.082979	-2.773201	0.051674
225	-0.089955	-2.773726	0.051674
234	-0.095992	-2.774251	0.051674
243	-0.100654	-2.774798	0.051674
252	-0.107450	-2.775589	0.051674
261	-0.109742	-2.776179	0.051282
267	-0.110361	-2.776632	0.051282
289	-0.107432	-2.777390	0.051306
297	-0.102046	-2.777823	0.051306
306	-0.097608	-2.778013	0.051306
315	-0.093234	-2.778121	0.051221
324	-0.088589	-2.778164	0.051221
334	-0.080536	-2.778114	0.051221
342	-0.075766	-2.777966	0.051221
352	-0.071214	-2.777758	0.051221
360	-0.067111	-2.777507	0.750000
370	-0.061633	-2.777058	0.750000
378	-0.059163	-2.776718	0.750000
392	-0.055972	-2.776284	0.750000
398	-0.052964	-2.776109	0.750000
405	-0.050391	-2.775288	0.750000
415	-0.052424	-2.774814	0.750000
424	-0.064457	-2.774378	0.750000
432	-0.087357	-2.774071	0.750000
441	-0.120647	-2.773993	0.750000
451	-0.205625	-2.774687	0.750000
460	-0.263319	-2.775629	0.750000
469	-0.317019	-2.777020	0.750000
477	-0.367302	-2.778833	0.750000
487	-0.434131	-2.782300	0.750000
496	-0.472241	-2.785017	0.750000
504	-0.505181	-2.788048	0.750000
515	-0.538378	-2.791955	0.750000
532	-0.600331	-2.801280	0.750000
541	-0.620414	-2.805382	0.750000
549	-0.638908	-2.809643	0.750000
558	-0.663146	-2.816345	0.750000
564	-0.674694	-2.820013	0.750000
577	-0.690415	-2.826673	0.750000
586	-0.698744	-2.831563	0.750000
596	-0.709291	-2.839149	0.750000
604	-0.716954	-2.844311	0.750000
613	-0.725233	-2.849580	0.750000
622	-0.733849	-2.855000	0.750000
632	-0.741358	-2.860536	0.750000
639	-0.753164	-2.869956	0.750000
649	-0.759806	-2.875776	0.750000
658	-0.765950	-2.881689	0.750000
667	-0.770161	-2.887714	0.750000
675	-0.776622	-2.896966	0.750000
685	-0.780733	-2.903232	0.750000
694	-0.784193	-2.909609	0.750000
704	-0.786369	-2.917222	0.750000
712	-0.787455	-2.927058	0.750000
724	-0.788815	-2.933742	0.750000
730	-0.789659	-2.940511	0.750000
739	-0.791060	-2.947329	0.750000
748	-0.794340	-2.957753	0.750000
757	-0.797082	-2.964831	0.750000
767	-0.800044	-2.973136	0.750000
775	-0.801822	-2.980311	0.750000
784	-0.804999	-2.991270	0.750000
793	-0.806844	-2.998643	0.750000
804	-0.808594	-3.006071	0.750000
811	-0.811042	-3.013566	0.750000
822	-0.814209	-3.021130	0.750000
833	-0.818623	-3.033913	0.750000
839	-0.821036	-3.041616	0.750000
847	-0.822099	-3.049307	0.750000
857	-0.822248	-3.056991	0.750000
865	-0.821603	-3.068655	0.750000
875	-0.819966	-3.076369	0.750000
883	-0.818129	-3.084110	0.750000
893	-0.816243	-3.093085	0.750000
901	-0.813031	-3.104692	0.750000
911	-0.810973	-3.112301	0.750000
920	-0.808430	-3.119891	0.750000
928	-0.806580	-3.127502	0.750000
942	-0.804175	-3.138914	0.750000
949	-0.802676	-3.147713	0.750000
955	-0.801396	-3.155154	0.750000
965	-0.800065	-3.162499	0.750000
974	-0.798688	-3.173468	0.750000
983	-0.799172	-3.180774	0.750000
991	-0.800485	-3.188035	0.750000
997	-0.801293	-3.197747	0.750000
1009	-0.802670	-3.206145	0.750000
1021	-0.803713	-3.214460	0.750000
1028	-0.803772	-3.221566	0.750000
1036	-0.802546	-3.228719	0.750000
1046	-0.799920	-3.235758	0.750000
1054	-0.795623	-3.246354	0.750000
1064	-0.790640	-3.253249	0.750000
1091	-0.770689	-3.278141	0.750000
1100	-0.765436	-3.284763	0.750000
1108	-0.761685	-3.291247	0.750000
1114	-0.759145	-3.297487	0.750000
1128	-0.758691	-3.307038	0.750000
1136	-0.758752	-3.314484	0.750000
1145	-0.758521	-3.320702	0.750000
1154	-0.759374	-3.326996	0.750000
1164	-0.761553	-3.336553	0.750000
1172	-0.763255	-3.342800	0.750000
1181	-0.764227	-3.349083	0.750000
1190	-0.764715	-3.355325	0.750000
1199	-0.765657	-3.361650	0.750000
1208	-0.768272	-3.372120	0.750000
1217	-0.770044	-3.378345	0.750000
1225	-0.772943	-3.384497	0.750000
1235	-0.776330	-3.390601	0.750000
1245	-0.781483	-3.400069	0.750000
1253	-0.784772	-3.406275	0.750000
1262	-0.787584	-3.413673	0.750000
1275	-0.789704	-3.419854	0.750000
1281	-0.794671	-3.429441	0.750000
1289	-0.798479	-3.435765	0.750000
1299	-0.803057	-3.442053	0.750000
1307	-0.808056	-3.448449	0.750000
1317	-0.814218	-3.458160	0.750000
1325	-0.818058	-3.465693	0.750000
1334	-0.821434	-3.472187	0.750000
1343	-0.824382	-3.478702	0.750000
1352	-0.829670	-3.488530	0.750000
1361	-0.832189	-3.495069	0.750000
1371	-0.833831	-3.501511	0.750000
1384	-0.835430	-3.508005	0.750000
1389	-0.836620	-3.517808	0.750000
1397	-0.836403	-3.524305	0.750000
1406	-0.833985	-3.531912	0.750000
1415	-0.831743	-3.538282	0.750000
1424	-0.827946	-3.548052	0.750000
1434	-0.822858	-3.554348	0.750000
1443	-0.818120	-3.560622	0.750000
1451	-0.813719	-3.566922	0.750000
1462	-0.808632	-3.576362	0.750000
1470	-0.804820	-3.582447	0.750000
1479	-0.803181	-3.588481	0.750000
1491	-0.803405	-3.595627	0.750000
1498	-0.807401	-3.604839	0.750000
1506	-0.810784	-3.610982	0.750000
1515	-0.814081	-3.617140	0.750000
1524	-0.818313	-3.623218	0.750000
1533	-0.821276	-3.629432	0.750000
1542	-0.822874	-3.638895	0.750000
1551	-0.822104	-3.645037	0.750000
1560	-0.818183	-3.652344	0.750000
1570	-0.812285	-3.658529	0.750000
