TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.004237	2.019114	0.000000
9	0.013237	2.019891	-0.000000
18	0.023266	2.020571	-0.000000
27	0.034704	2.021171	-0.000000
35	0.049572	2.021970	0.000000
44	0.058676	2.022400	0.000000
54	0.069991	2.022735	0.000000
63	0.083002	2.023017	-0.000000
71	0.097907	2.023302	-0.000000
90	0.128527	2.023625	0.000000
98	0.143817	2.023680	0.000000
108	0.170450	2.023752	-0.000000
117	0.186810	2.023787	-0.000000
126	0.202950	2.023850	-0.000000
135	0.221962	2.023941	0.000000
145	0.239925	2.024071	0.000000
153	0.267543	2.024375	0.000000
162	0.284396	2.024651	-0.000000
170	0.301727	2.025012	-0.000000
181	0.320243	2.025452	0.000000
188	0.348712	2.026335	0.000000
216	0.399820	2.029150	0.000000
225	0.420819	2.030902	0.000000
236	0.431664	2.032237	-0.000000
243	0.441816	2.033663	-0.000000
253	0.451927	2.035452	-0.000000
261	0.464515	2.037932	0.000000
271	0.469674	2.039744	0.000000
280	0.471487	2.041601	0.000000
288	0.471465	2.043540	-0.000000
297	0.468057	2.046542	-0.000000
310	0.463853	2.048602	0.000000
316	0.458057	2.050724	0.000000
324	0.447441	2.053210	0.000000
334	0.435969	2.055383	-0.000000
342	0.415074	2.058595	-0.000000
353	0.399728	2.060770	-0.000000
360	0.383759	2.062911	0.000000
370	0.366873	2.065099	0.000000
380	0.336899	2.068714	-0.000000
387	0.318820	2.070884	-0.000000
396	0.302202	2.073047	-0.000000
408	0.286321	2.075246	-0.000000
420	0.252056	2.079593	0.000000
433	0.226454	2.082860	-0.000000
442	0.210556	2.085014	-0.000000
450	0.185937	2.088535	-0.000000
459	0.173974	2.090607	0.000000
469	0.164059	2.092700	0.000000
479	0.155476	2.094787	0.000000
488	0.147331	2.097882	-0.000000
496	0.143323	2.099978	-0.000000
504	0.139636	2.102053	-0.000000
513	0.136363	2.104467	0.000000
533	0.130917	2.109590	-0.000000
542	0.129311	2.111592	-0.000000
551	0.129184	2.113556	-0.000000
559	0.130050	2.116504	0.000000
569	0.130749	2.118416	0.000000
578	0.131032	2.120614	0.000000
589	0.129723	2.122447	-0.000000
596	0.125616	2.125132	-0.000000
605	0.121667	2.126823	-0.000000
614	0.116369	2.128434	0.000000
622	0.111008	2.129950	0.000000
637	0.103862	2.132373	-0.000000
643	0.098516	2.133687	-0.000000
650	0.093425	2.134943	-0.000000
659	0.089666	2.136125	0.000000
668	0.083532	2.137879	0.000000
678	0.079716	2.138958	0.000000
686	0.077014	2.140006	-0.000000
695	0.073963	2.141012	-0.000000
704	0.071084	2.142170	-0.000000
713	0.066897	2.143637	0.000000
723	0.064587	2.144605	0.000000
731	0.062555	2.145571	-0.000000
739	0.059706	2.146515	-0.000000
750	0.050499	2.147976	-0.000000
758	0.042033	2.149041	0.000000
767	0.033844	2.149929	0.000000
776	0.025953	2.150794	0.000000
785	0.014858	2.152189	-0.000000
794	0.007564	2.153080	-0.000000
804	0.000671	2.154002	-0.000000
812	-0.007016	2.154942	0.000000
822	-0.020593	2.156614	0.000000
831	-0.027766	2.157586	-0.000000
839	-0.033724	2.158598	-0.000000
849	-0.038730	2.159629	-0.000000
860	-0.043584	2.161317	0.000000
867	-0.044437	2.162434	0.000000
876	-0.042531	2.163604	0.000000
884	-0.038547	2.164837	-0.000000
890	-0.032836	2.166341	-0.000000
903	-0.024709	2.168434	-0.000000
912	-0.017667	2.169867	0.000000
920	-0.009094	2.171336	0.000000
932	0.007496	2.173721	-0.000000
938	0.019283	2.175354	-0.000000
948	0.035115	2.177364	-0.000000
957	0.049033	2.179136	0.000000
970	0.069739	2.181978	0.000000
976	0.084584	2.183915	-0.000000
984	0.100765	2.185920	-0.000000
993	0.117263	2.187970	-0.000000
1002	0.133499	2.190091	0.000000
1012	0.162587	2.193836	0.000000
1021	0.180519	2.196069	0.000000
1029	0.198475	2.198384	-0.000000
1037	0.214159	2.200751	-0.000000
1047	0.235242	2.204419	-0.000000
1056	0.248279	2.206841	0.000000
1065	0.260977	2.209223	0.000000
1084	0.293383	2.215671	-0.000000
1093	0.301565	2.217996	-0.000000
1101	0.307247	2.220305	-0.000000
1110	0.311762	2.222542	0.000000
1120	0.316984	2.225780	0.000000
1130	0.319271	2.227792	0.000000
1138	0.321261	2.230104	-0.000000
1147	0.322283	2.231928	-0.000000
1155	0.323731	2.234643	0.000000
1167	0.323766	2.236319	0.000000
1174	0.323009	2.237891	0.000000
1193	0.319058	2.241591	-0.000000
1202	0.317734	2.243142	-0.000000
1210	0.316769	2.244396	0.000000
1220	0.314754	2.245597	0.000000
1230	0.310236	2.247370	-0.000000
1237	0.306722	2.248458	-0.000000
1248	0.300739	2.249462	-0.000000
1256	0.293624	2.250433	0.000000
1264	0.281272	2.251973	0.000000
1273	0.273524	2.252799	0.000000
1283	0.264509	2.253556	-0.000000
1296	0.254226	2.254263	-0.000000
1302	0.238804	2.255290	0.000000
1310	0.228901	2.255882	0.000000
1319	0.217285	2.256433	0.000000
1328	0.201188	2.257046	-0.000000
1337	0.186362	2.257513	-0.000000
1346	0.163163	2.258173	-0.000000
1355	0.146469	2.258547	0.000000
1363	0.128022	2.258868	0.000000
1375	0.106792	2.259148	0.000000
1381	0.072947	2.259451	-0.000000
1393	0.045132	2.259560	-0.000000
1400	0.020350	2.259557	-0.000000
1410	-0.006590	2.259423	0.000000
1417	-0.046333	2.259045	0.000000
1429	-0.071746	2.258623	0.000000
