TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.082299	-2.347901	0.000000
5	-0.103651	-2.348966	0.000000
14	-0.115582	-2.349718	-0.000000
23	-0.124866	-2.350462	-0.000000
31	-0.133639	-2.351292	-0.000000
41	-0.140602	-2.351991	0.000000
49	-0.149157	-2.352921	0.000000
58	-0.153047	-2.353532	0.000000
64	-0.155224	-2.354093	-0.000000
77	-0.155423	-2.354599	-0.000000
86	-0.153035	-2.355243	-0.000000
95	-0.150091	-2.355580	0.000000
108	-0.146455	-2.355869	0.000000
114	-0.142301	-2.356087	-0.000000
121	-0.137103	-2.356269	-0.000000
131	-0.132533	-2.356353	-0.000000
140	-0.127171	-2.356392	0.000000
149	-0.120126	-2.356432	0.000000
158	-0.105235	-2.356341	0.000000
166	-0.094533	-2.356287	-0.000000
175	-0.083087	-2.356183	-0.000000
185	-0.070149	-2.356018	-0.000000
193	-0.048235	-2.355662	0.000000
203	-0.033086	-2.355371	0.000000
212	-0.016865	-2.355050	0.000000
229	0.019558	-2.354172	-0.000000
238	0.045331	-2.353395	-0.000000
250	0.062184	-2.352830	0.000000
257	0.080053	-2.352254	0.000000
267	0.097051	-2.351641	-0.000000
275	0.123153	-2.350629	-0.000000
284	0.143410	-2.349808	-0.000000
292	0.160782	-2.349048	0.000000
302	0.177982	-2.348239	0.000000
310	0.203323	-2.346968	0.000000
320	0.216847	-2.346083	-0.000000
332	0.232015	-2.344648	-0.000000
339	0.233657	-2.344450	0.000000
346	0.232102	-2.343108	0.000000
358	0.226076	-2.342427	0.000000
365	0.215104	-2.341856	-0.000000
375	0.199282	-2.341422	-0.000000
384	0.168536	-2.341032	-0.000000
392	0.146089	-2.341021	0.000000
401	0.123980	-2.341165	0.000000
410	0.097550	-2.341516	0.000000
419	0.076079	-2.342011	-0.000000
429	0.047774	-2.342957	-0.000000
442	0.027272	-2.344125	0.000000
447	0.021938	-2.344607	0.000000
455	0.012830	-2.345511	0.000000
466	0.000976	-2.346993	-0.000000
473	-0.003275	-2.347890	-0.000000
482	-0.007707	-2.348783	-0.000000
492	-0.010978	-2.349673	0.000000
500	-0.014274	-2.350893	0.000000
509	-0.015146	-2.351687	0.000000
518	-0.016608	-2.352412	-0.000000
528	-0.018605	-2.353085	-0.000000
537	-0.022395	-2.354061	-0.000000
555	-0.024699	-2.355081	0.000000
566	-0.025232	-2.355502	-0.000000
573	-0.024835	-2.355942	-0.000000
582	-0.024745	-2.356176	-0.000000
592	-0.024683	-2.356358	0.000000
600	-0.023684	-2.356463	0.000000
608	-0.021580	-2.356457	0.000000
623	-0.020536	-2.356412	-0.000000
636	-0.018778	-2.356153	-0.000000
647	-0.014842	-2.355816	0.000000
664	-0.006827	-2.355214	-0.000000
671	-0.000875	-2.354870	-0.000000
680	0.010752	-2.354197	-0.000000
686	0.020120	-2.353722	0.000000
700	0.031659	-2.353157	0.000000
708	0.044201	-2.352511	0.000000
717	0.057866	-2.351833	-0.000000
726	0.084576	-2.350420	-0.000000
735	0.101872	-2.349490	-0.000000
744	0.120881	-2.348467	0.000000
753	0.139766	-2.347321	0.000000
772	0.183137	-2.344038	-0.000000
780	0.198490	-2.342650	-0.000000
789	0.214835	-2.340903	-0.000000
797	0.231983	-2.338527	0.000000
809	0.239965	-2.336945	0.000000
816	0.246477	-2.335326	-0.000000
826	0.251538	-2.333738	-0.000000
834	0.254534	-2.331295	-0.000000
844	0.253288	-2.329478	0.000000
852	0.251436	-2.327979	0.000000
862	0.247510	-2.326547	0.000000
870	0.237925	-2.324425	-0.000000
882	0.229699	-2.323196	-0.000000
889	0.220616	-2.322029	0.000000
897	0.209660	-2.320926	0.000000
906	0.197643	-2.319920	0.000000
916	0.175457	-2.318419	-0.000000
925	0.160712	-2.317694	-0.000000
933	0.145175	-2.317116	-0.000000
942	0.130157	-2.316626	0.000000
951	0.106446	-2.316089	0.000000
960	0.089514	-2.315901	0.000000
971	0.073603	-2.315827	-0.000000
979	0.055265	-2.315876	-0.000000
993	0.032827	-2.316105	0.000000
999	0.018623	-2.316437	0.000000
1006	0.004768	-2.316847	0.000000
1015	-0.008624	-2.317353	0.000000
1025	-0.028098	-2.318211	-0.000000
1032	-0.041493	-2.319037	-0.000000
1051	-0.062404	-2.320698	0.000000
1059	-0.071519	-2.321605	0.000000
1069	-0.082525	-2.322997	-0.000000
1077	-0.088742	-2.323990	-0.000000
1087	-0.093102	-2.324968	-0.000000
1105	-0.100932	-2.327461	0.000000
1115	-0.101635	-2.328376	0.000000
1123	-0.101252	-2.329232	-0.000000
1132	-0.100400	-2.330046	-0.000000
1140	-0.096562	-2.331130	0.000000
1149	-0.091600	-2.331778	0.000000
