TIMESTAMPms	M1ATTITUDEyaw	M1ATTITUDEyawspeed
592	-1.30192	0.0021126
889	-1.30196	0.00179328
1187	-1.3025	0.00218494
1486	-1.30307	0.00138447
1775	-1.30313	0.00185672
2074	-1.3029	0.00210117
2367	-1.30266	0.00234467
2665	-1.3026	0.00201099
2963	-1.30309	0.0022571
3261	-1.30369	0.00232207
3560	-1.30407	0.0022441
3857	-1.30383	0.00203631
4155	-1.30363	0.00217796
4462	-1.30364	0.00336792
4759	-1.30418	0.00430344
5057	-1.30253	4.94277e-05
5364	-1.30172	0.00841542
5661	-1.30135	-0.000375103
5967	-1.2955	0.0409688
6266	-1.29165	0.0120656
6571	-1.29033	0.0134606
6869	-1.28547	0.0220097
7168	-1.28229	0.012734
7473	-1.28007	0.00503127
7760	-1.2805	0.00181055
8070	-1.28212	-0.000678127
8363	-1.28348	0.00111954
8674	-1.28339	0.00783409
8968	-1.282	0.0155059
9265	-1.2791	0.00517866
9564	-1.27768	0.00798984
9870	-1.27717	-0.00940651
10167	-1.27739	0.00749497
10466	-1.27841	0.000987706
10763	-1.27767	-0.000430889
11070	-1.2773	0.00137651
11368	-1.27714	0.00163668
11665	-1.27756	0.00215694
11972	-1.27805	0.00244726
12262	-1.27814	0.00207718
