TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	-0.003494	0.403570	0.091507
    9	-0.002776	0.403676	0.091507
   16	-0.002373	0.403712	0.091507
   28	-0.001914	0.403865	0.091507
   35	-0.002165	0.403923	0.091507
   45	-0.001603	0.404075	0.091507
   55	-0.002716	0.404171	0.088449
   63	-0.003356	0.404368	0.088449
   71	-0.003681	0.404491	0.088449
   80	-0.005736	0.404625	0.088449
   89	-0.008686	0.404845	0.088449
   98	-0.010592	0.404832	0.088449
  110	-0.012895	0.404916	0.088449
  117	-0.015897	0.404998	0.088449
  127	-0.019351	0.404906	0.088449
  135	-0.021905	0.404757	0.088449
  145	-0.023502	0.404614	0.088449
  154	-0.025635	0.404520	0.088449
  166	-0.028515	0.404250	0.088449
  172	-0.029387	0.404134	0.088449
  180	-0.030080	0.403896	0.088449
  190	-0.030843	0.403760	0.088449
  198	-0.032366	0.403497	0.088449
  206	-0.034497	0.403213	0.088449
  218	-0.035496	0.403112	0.088449
  225	-0.036418	0.402932	0.088449
  234	-0.037929	0.402846	0.088449
  242	-0.039301	0.402499	0.088449
  248	-0.039650	0.402437	0.088449
  254	-0.039967	0.402401	0.088449
  261	-0.040828	0.402141	0.088449
  280	-0.041501	0.401605	0.084904
  288	-0.042088	0.401473	0.084904
  297	-0.042791	0.401250	0.084904
  306	-0.043062	0.401157	0.084904
  315	-0.042727	0.400822	0.084904
  326	-0.041935	0.400552	0.800000
  333	-0.042420	0.400266	0.800000
  342	-0.041933	0.400066	0.800000
  352	-0.041372	0.400075	0.800000
  360	-0.041617	0.400261	0.800000
  365	-0.042095	0.400304	0.800000
  374	-0.042675	0.400304	0.800000
  388	-0.062603	0.400031	0.800000
  396	-0.101382	0.399206	0.800000
  406	-0.138185	0.398537	0.800000
  414	-0.182706	0.397453	0.800000
  424	-0.229566	0.396048	0.800000
  431	-0.291034	0.393028	0.800000
  441	-0.326465	0.390716	0.800000
  450	-0.367234	0.387594	0.800000
  460	-0.401168	0.384687	0.800000
  468	-0.445091	0.379813	0.800000
  505	-0.547946	0.362800	0.800000
  523	-0.576230	0.354849	0.800000
  531	-0.589417	0.350429	0.800000
  540	-0.609247	0.343329	0.800000
  550	-0.620044	0.338539	0.800000
  559	-0.630313	0.333687	0.800000
  567	-0.641546	0.328680	0.800000
  577	-0.655175	0.322803	0.800000
  586	-0.671778	0.314979	0.800000
  595	-0.680201	0.309839	0.800000
  604	-0.688795	0.304549	0.800000
  612	-0.696111	0.299214	0.800000
  621	-0.703041	0.291017	0.800000
  631	-0.706005	0.285457	0.800000
  640	-0.706565	0.279114	0.800000
  649	-0.706102	0.273676	0.800000
  659	-0.705152	0.265525	0.800000
  667	-0.705187	0.260109	0.800000
  676	-0.704644	0.254557	0.800000
  685	-0.704923	0.249052	0.800000
  695	-0.708793	0.239839	0.800000
  703	-0.712335	0.234212	0.800000
  716	-0.717845	0.228654	0.800000
  722	-0.724115	0.223007	0.800000
  730	-0.731202	0.217186	0.800000
  739	-0.743025	0.208414	0.800000
  748	-0.751418	0.202668	0.800000
  757	-0.759419	0.197082	0.800000
  766	-0.765837	0.190444	0.800000
  774	-0.772955	0.181404	0.800000
  786	-0.776462	0.175239	0.800000
  794	-0.778651	0.169112	0.800000
  802	-0.780380	0.162872	0.800000
  812	-0.782386	0.153624	0.800000
  825	-0.780334	0.146505	0.800000
  840	-0.772083	0.134122	0.800000
  848	-0.764397	0.124942	0.800000
  856	-0.758745	0.118895	0.800000
  865	-0.752400	0.112958	0.800000
  874	-0.747514	0.107118	0.800000
  883	-0.741128	0.097263	0.800000
  892	-0.739099	0.091313	0.800000
  901	-0.738324	0.085372	0.800000
  907	-0.738394	0.079423	0.800000
  919	-0.739405	0.073454	0.800000
  933	-0.744044	0.064543	0.800000
  939	-0.747658	0.057515	0.800000
  947	-0.749383	0.051413	0.800000
  956	-0.751168	0.045349	0.800000
  964	-0.755058	0.036227	0.800000
  974	-0.756351	0.030151	0.800000
  983	-0.756113	0.024119	0.800000
  991	-0.755145	0.018021	0.800000
 1000	-0.753005	0.008859	0.800000
 1010	-0.751917	0.001702	0.800000
1019	-0.751401	-0.004406	0.800000
1028	-0.750117	-0.010467	0.800000
1046	-0.752161	-0.025622	0.800000
1054	-0.754950	-0.031724	0.800000
1063	-0.757503	-0.037847	0.800000
1074	-0.761467	-0.044983	0.800000
1082	-0.767751	-0.054250	0.800000
1091	-0.771832	-0.060400	0.800000
1100	-0.775910	-0.066573	0.800000
1108	-0.779639	-0.072884	0.800000
1117	-0.784564	-0.082334	0.800000
1128	-0.787574	-0.088718	0.800000
1136	-0.789182	-0.096260	0.800000
1155	-0.789206	-0.112126	0.800000
1163	-0.788601	-0.118511	0.800000
1171	-0.786970	-0.124915	0.800000
1180	-0.785027	-0.131279	0.800000
1191	-0.781883	-0.140741	0.800000
1199	-0.779685	-0.148154	0.800000
1208	-0.777610	-0.154444	0.800000
1217	-0.775678	-0.160637	0.800000
1226	-0.772807	-0.169972	0.800000
1234	-0.771647	-0.176229	0.800000
1246	-0.769297	-0.182461	0.800000
1253	-0.765611	-0.188715	0.800000
1265	-0.761014	-0.195935	0.800000
1272	-0.756566	-0.205051	0.800000
1280	-0.754707	-0.211178	0.800000
1291	-0.751512	-0.217314	0.800000
1298	-0.749156	-0.223418	0.800000
1308	-0.748558	-0.232464	0.800000
1316	-0.748285	-0.238549	0.800000
1325	-0.747085	-0.245650	0.800000
1334	-0.747063	-0.251677	0.800000
1342	-0.747389	-0.260721	0.800000
1353	-0.747572	-0.266796	0.800000
1362	-0.746722	-0.272848	0.800000
1374	-0.745786	-0.278929	0.800000
1380	-0.744566	-0.287895	0.800000
1388	-0.742792	-0.294925	0.800000
1397	-0.740831	-0.300949	0.800000
1406	-0.738848	-0.307045	0.800000
1415	-0.736562	-0.315960	0.800000
1425	-0.736164	-0.321968	0.800000
1433	-0.734827	-0.328018	0.800000
1443	-0.734517	-0.334089	0.800000
1451	-0.734460	-0.341060	0.800000
1461	-0.735239	-0.349883	0.800000
1469	-0.736310	-0.355867	0.800000
1482	-0.736216	-0.361862	0.800000
1489	-0.736511	-0.367853	0.800000
1496	-0.737839	-0.376816	0.800000
1506	-0.738137	-0.382770	0.800000
1515	-0.737835	-0.389690	0.800000
1523	-0.737291	-0.395707	0.800000
1532	-0.735030	-0.404623	0.800000
1543	-0.733477	-0.410612	0.800000
1550	-0.731912	-0.416630	0.800000
1560	-0.729681	-0.422566	0.800000
1570	-0.723728	-0.432310	0.800000
1577	-0.720535	-0.438166	0.800000
1587	-0.717906	-0.444052	0.800000
1597	-0.715814	-0.449872	0.800000
1605	-0.709570	-0.458556	0.800000
1614	-0.704402	-0.464330	0.800000
1623	-0.701268	-0.470116	0.800000
1632	-0.700616	-0.475819	0.800000
1641	-0.700617	-0.482487	0.800000
1649	-0.699593	-0.491014	0.800000
1659	-0.702457	-0.496800	0.800000
1668	-0.706047	-0.502663	0.800000
1677	-0.707677	-0.508439	0.800000
1685	-0.709094	-0.517060	0.800000
1695	-0.711347	-0.522858	0.800000
1704	-0.715260	-0.529670	0.800000
1712	-0.717051	-0.535550	0.800000
1718	-0.716621	-0.544319	0.800000
1731	-0.716419	-0.550281	0.800000
1740	-0.716771	-0.556193	0.800000
1749	-0.714787	-0.562091	0.800000
1757	-0.706623	-0.571709	0.800000
1767	-0.701263	-0.577507	0.800000
1777	-0.697339	-0.583295	0.800000
1785	-0.692936	-0.589061	0.800000
