TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.093476	-0.792235	0.150555
   8	-0.094823	-0.793087	0.150555
  19	-0.097023	-0.794300	0.150555
  27	-0.099260	-0.795247	0.150555
  36	-0.100619	-0.796108	0.150555
  44	-0.102549	-0.796985	0.142941
  50	-0.104032	-0.797605	0.142941
  63	-0.107436	-0.799149	0.142941
  72	-0.109170	-0.800061	0.142941
  81	-0.110641	-0.800959	0.142941
  89	-0.112644	-0.802469	0.142941
 101	-0.114257	-0.803417	0.142941
 108	-0.116196	-0.804347	0.142941
 117	-0.118604	-0.805321	0.142941
 127	-0.120410	-0.806263	0.142941
 135	-0.122297	-0.807697	0.142941
 143	-0.123302	-0.808703	0.142941
 153	-0.125282	-0.809870	0.130710
 162	-0.126606	-0.810867	0.130710
 170	-0.127194	-0.812386	0.130710
 176	-0.127196	-0.813255	0.130710
 189	-0.126757	-0.814412	0.130710
 198	-0.126847	-0.815413	0.130710
 206	-0.127216	-0.816939	0.130710
 216	-0.126718	-0.818134	0.130710
 225	-0.125933	-0.819152	0.130710
 234	-0.125425	-0.820189	0.130710
 243	-0.124215	-0.821649	0.130710
 252	-0.123169	-0.822659	0.130710
 264	-0.121692	-0.823631	0.118502
 271	-0.119860	-0.824626	0.118502
 279	-0.117590	-0.826226	0.118502
289	-0.115728	-0.827172	-0.800000
297	-0.114061	-0.828137	-0.800000
306	-0.112787	-0.829065	-0.800000
315	-0.111845	-0.830025	-0.800000
325	-0.109045	-0.831570	-0.800000
333	-0.105648	-0.832687	-0.800000
343	-0.096586	-0.833928	-0.800000
352	-0.079830	-0.834836	-0.800000
361	-0.042392	-0.835802	-0.800000
374	-0.005194	-0.836176	-0.800000
 380	0.034816	-0.836256	-0.800000
 387	0.070724	-0.836051	-0.800000
 396	0.114681	-0.835215	-0.800000
 407	0.145248	-0.834215	-0.800000
 415	0.171449	-0.833196	-0.800000
 498	0.425258	-0.810253	-0.800000
 510	0.440596	-0.807071	-0.800000
 523	0.479365	-0.798475	-0.800000
 531	0.496950	-0.794157	-0.800000
 541	0.509033	-0.790302	-0.800000
 551	0.525777	-0.784313	-0.800000
 558	0.536461	-0.780225	-0.800000
 567	0.547090	-0.776027	-0.800000
 577	0.556423	-0.771725	-0.800000
 591	0.569241	-0.765070	-0.800000
 596	0.579520	-0.759815	-0.800000
 604	0.587654	-0.755169	-0.800000
 613	0.593729	-0.750461	-0.800000
 622	0.601706	-0.743281	-0.800000
 631	0.607938	-0.738401	-0.800000
 640	0.613855	-0.733482	-0.800000
 649	0.619325	-0.728455	-0.800000
 658	0.626291	-0.722504	-0.800000
 667	0.637479	-0.714725	-0.800000
 676	0.644102	-0.709446	-0.800000
 685	0.651457	-0.704088	-0.800000
 694	0.658809	-0.698652	-0.800000
 705	0.669125	-0.690330	-0.800000
 712	0.676913	-0.684712	-0.800000
 721	0.685957	-0.678058	-0.800000
 731	0.692612	-0.672245	-0.800000
 738	0.701182	-0.663502	-0.800000
 750	0.705602	-0.657577	-0.800000
 757	0.708584	-0.651595	-0.800000
 767	0.711396	-0.645648	-0.800000
 775	0.714791	-0.636654	-0.800000
 784	0.715432	-0.629689	-0.800000
 793	0.716045	-0.623646	-0.800000
 802	0.715675	-0.617638	-0.800000
 814	0.714348	-0.608607	-0.800000
 821	0.713270	-0.602547	-0.800000
 829	0.712408	-0.596526	-0.800000
 838	0.710159	-0.589459	-0.800000
 848	0.708928	-0.583370	-0.800000
 855	0.706788	-0.574447	-0.800000
 865	0.705842	-0.568473	-0.800000
 876	0.705792	-0.562436	-0.800000
 883	0.706240	-0.556511	-0.800000
 893	0.708841	-0.547564	-0.800000
 902	0.710283	-0.541555	-0.800000
 910	0.713846	-0.534602	-0.800000
 916	0.716170	-0.529848	-0.800000
 938	0.722393	-0.513632	-0.800000
 947	0.725122	-0.507520	-0.800000
 956	0.728422	-0.501461	-0.800000
 964	0.732704	-0.492384	-0.800000
 972	0.736347	-0.485302	-0.800000
 979	0.738592	-0.481404	-0.800000
 991	0.743450	-0.473055	-0.800000
1002	0.748223	-0.463800	-0.800000
1010	0.750968	-0.457552	-0.800000
1018	0.754354	-0.451341	-0.800000
1031	0.758161	-0.445136	-0.800000
